outcome,subject,period,treatment,sequence,sequence index
0.49,1,1,A,AB,1
0.8,1,2,B,AB,1
0.42,2,1,B,BA,5
0.45,2,2,A,BA,5
0.45,3,1,A,AC,2
0.92,3,2,C,AC,2
0.73,4,1,C,CA,9
0.48,4,2,A,CA,9
0.2,5,1,A,AD,3
0.67,5,2,D,AD,3
0.66,6,1,D,DA,13
0.4,6,2,A,DA,13
0.54,7,1,A,AE,4
0.96,7,2,E,AE,4
0.81,8,1,E,EA,17
0.69,8,2,A,EA,17
0.71,9,1,B,BC,6
0.8,9,2,C,BC,6
0.76,10,1,C,CB,10
0.69,10,2,B,CB,10
0.8,11,1,B,BD,7
0.97,11,2,D,BD,7
0.65,12,1,D,DB,14
0.5,12,2,B,DB,14
0.48,13,1,B,BE,8
0.74,13,2,E,BE,8
0.7,14,1,E,EB,18
0.77,14,2,B,EB,18
0.86,15,1,C,CD,11
1.02,15,2,D,CD,11
1.18,16,1,D,DC,15
1.22,16,2,C,DC,15
0.87,17,1,C,CE,12
0.93,17,2,E,CE,12
0.63,18,1,E,EC,19
0.67,18,2,C,EC,19
1.2,19,1,D,DE,16
1.26,19,2,E,DE,16
1.19,20,1,E,ED,20
1.38,20,2,D,ED,20
