outcome,period,treatment,subject,sequence,sequence index
30.8,1,A,1,ABAB,1
31,2,B,1,ABAB,1
29.6,3,A,1,ABAB,1
21.4,4,B,1,ABAB,1
35.4,1,A,2,ABAB,1
33.3,2,B,2,ABAB,1
29.2,3,A,2,ABAB,1
30.2,4,B,2,ABAB,1
35.5,1,A,3,ABAB,1
35.5,2,B,3,ABAB,1
37,3,A,3,ABAB,1
29.9,4,B,3,ABAB,1
31.3,1,A,4,ABAB,1
28,2,B,4,ABAB,1
29,3,A,4,ABAB,1
26.3,4,B,4,ABAB,1
30.2,1,A,5,ABAB,1
27.3,2,B,5,ABAB,1
26.2,3,A,5,ABAB,1
24.9,4,B,5,ABAB,1
30.2,1,A,6,ABAB,1
32.3,2,B,6,ABAB,1
30.4,3,A,6,ABAB,1
29.5,4,B,6,ABAB,1
22.7,1,A,7,ABAB,1
22.6,2,B,7,ABAB,1
20.4,3,A,7,ABAB,1
19.1,4,B,7,ABAB,1
31.7,1,A,8,ABAB,1
30.3,2,B,8,ABAB,1
27.3,3,A,8,ABAB,1
24.5,4,B,8,ABAB,1
34.1,1,A,9,ABAB,1
29.5,2,B,9,ABAB,1
27.4,3,A,9,ABAB,1
25.7,4,B,9,ABAB,1
32.4,1,A,10,ABAB,1
29.5,2,B,10,ABAB,1
28.9,3,A,10,ABAB,1
25.8,4,B,10,ABAB,1
36.3,1,A,11,ABAB,1
33.8,2,B,11,ABAB,1
30,3,A,11,ABAB,1
26.7,4,B,11,ABAB,1
25.6,1,A,12,ABAB,1
23.9,2,B,12,ABAB,1
20.1,3,A,12,ABAB,1
19.2,4,B,12,ABAB,1
31.2,1,B,13,BABA,2
31.3,2,A,13,BABA,2
29.2,3,B,13,BABA,2
28.1,4,A,13,BABA,2
35.3,1,B,14,BABA,2
36.7,2,A,14,BABA,2
34.4,3,B,14,BABA,2
31.9,4,A,14,BABA,2
28.2,1,B,15,BABA,2
26.8,2,A,15,BABA,2
24.2,3,B,15,BABA,2
22,4,A,15,BABA,2
26.4,1,B,16,BABA,2
26.7,2,A,16,BABA,2
27,3,B,16,BABA,2
25.8,4,A,16,BABA,2
21.7,1,B,17,BABA,2
21.4,2,A,17,BABA,2
20.3,3,B,17,BABA,2
19.1,4,A,17,BABA,2
25.6,1,B,18,BABA,2
27.1,2,A,18,BABA,2
25.8,3,B,18,BABA,2
25.1,4,A,18,BABA,2
31.3,1,B,19,BABA,2
30.2,2,A,19,BABA,2
26.8,3,B,19,BABA,2
25.5,4,A,19,BABA,2
29.7,1,B,20,BABA,2
27.2,2,A,20,BABA,2
25.6,3,B,20,BABA,2
22.2,4,A,20,BABA,2
30,1,B,21,BABA,2
28.6,2,A,21,BABA,2
26.8,3,B,21,BABA,2
23.5,4,A,21,BABA,2
37.6,1,B,22,BABA,2
36.4,2,A,22,BABA,2
33.5,3,B,22,BABA,2
29.2,4,A,22,BABA,2
32.6,1,B,23,BABA,2
27.9,2,A,23,BABA,2
26.5,3,B,23,BABA,2
22.7,4,A,23,BABA,2
25,1,B,24,BABA,2
25.5,2,A,24,BABA,2
25.7,3,B,24,BABA,2
24.1,4,A,24,BABA,2
